#rilevazioni.dat
#              time               pos
                 0           1.85706
               0.5            1.3053
                 1            1.7435
               1.5           1.73626
                 2           2.36128
               2.5           2.17516
                 3           2.81885
               3.5           2.47435
                 4            3.3784
               4.5           3.70286
                 5           3.59772
               5.5           4.13644
                 6           4.08605
               6.5           4.20196
                 7           4.62003
               7.5           4.95664
                 8           5.51269
               8.5            5.3761
                 9           5.70771
               9.5           5.93221
                10           6.53244
              10.5            6.4534
                11           6.86616
              11.5           7.09358
                12           6.90298
              12.5           7.30557
                13           7.64717
              13.5           8.09334
                14           8.39213
              14.5           8.53102
                15            8.6105
              15.5           8.85335
                16           9.16722
              16.5           9.72395
                17            9.7586
              17.5           9.77438
                18           10.4746
              18.5           10.2302
                19           10.7663
              19.5           10.9687
                20           11.2867
              20.5           11.2329
                21            11.627
              21.5           11.9259
                22            12.205
              22.5           12.3317
                23           12.4116
              23.5           13.0663
                24           13.3448
              24.5           13.1707
                25           13.4816
